timestamp,RTT_ms,throughput_Mbps,retransmissions
1764806783.1008465,10.180473327636719,0,0
1764806783.101184,11.644124984741211,0,0
1764806783.1164577,15.15817642211914,0,0
1764806783.1513352,50.04525184631348,0,0
1764806783.16164,10.153770446777344,0,0
1764806783.2017195,50.23550987243652,0,0
1764806783.2202835,18.450260162353516,0,0
1764806783.2565928,54.74066734313965,0,0
1764806783.28352,20.957231521606445,0,0
1764806783.30546,48.061370849609375,0,0
1764806783.3181071,12.503862380981445,0,0
1764806783.3591397,51.1937141418457,0,0
1764806783.3781266,18.792390823364258,0,0
1764806783.4072683,47.966957092285156,0,0
1764806783.4208212,13.27204704284668,0,0
1764806783.461041,52.049875259399414,0,0
1764806783.4715722,10.37287712097168,0,0
1764806783.5105274,49.35193061828613,0,0
1764806783.529094,14.966964721679688,0,0
1764806783.5605261,49.878597259521484,0,0
1764806783.5716062,10.969161987304688,0,0
1764806783.6174488,56.798696517944336,0,0
1764806783.630528,12.967824935913086,0,0
1764806783.6702044,52.57129669189453,0,0
1764806783.6833756,12.958526611328125,0,0
1764806783.7202373,49.90220069885254,0,0
1764806783.734057,10.811805725097656,0,0
1764806783.770353,49.991607666015625,0,0
1764806783.7806087,10.137557983398438,0,0
1764806783.8204753,49.99399185180664,0,0
1764806783.8307667,10.166645050048828,0,0
1764806783.8715749,50.971269607543945,0,0
1764806783.8818455,10.15472412109375,0,0
1764806783.9226263,50.92573165893555,0,0
1764806783.9329112,10.163307189941406,0,0
1764806783.9737883,51.03468894958496,0,0
1764806783.9841118,10.204315185546875,0,0
1764806784.0272162,50.444602966308594,0,0
1764806784.0375307,10.114669799804688,0,0
1764806784.0745404,47.16205596923828,0,0
1764806784.0746276,0,0.0017053709414906683,0
1764807109.2465773,10.492324829101562,0,0
1764807109.2473521,10.988473892211914,0,0
1764807109.26133,13.853073120117188,0,0
1764807109.2987344,51.2394905090332,0,0
1764807109.313242,13.59701156616211,0,0
1764807109.3519106,51.73945426940918,0,0
1764807109.3631394,11.086225509643555,0,0
1764807109.4017317,49.68595504760742,0,0
1764807109.4160202,11.313438415527344,0,0
1764807109.4517896,49.92961883544922,0,0
1764807109.4624822,10.580778121948242,0,0
1764807109.5027049,50.78530311584473,0,0
1764807109.5153806,11.635065078735352,0,0
1764807109.555721,50.19259452819824,0,0
1764807109.5678296,11.956214904785156,0,0
1764807109.6031961,47.32489585876465,0,0
1764807109.6134646,10.157585144042969,0,0
1764807109.6541426,50.8272647857666,0,0
1764807109.6643813,10.129213333129883,0,0
1764807109.7051222,50.85611343383789,0,0
1764807109.716485,10.169744491577148,0,0
1764807109.7581172,50.35996437072754,0,0
1764807109.7687035,10.437965393066406,0,0
1764807109.8084345,50.17733573913574,0,0
1764807109.8236144,12.420415878295898,0,0
1764807109.86161,52.96182632446289,0,0
1764807109.88057,16.542673110961914,0,0
1764807109.9155252,52.976369857788086,0,0
1764807109.928065,11.838436126708984,0,0
1764807109.9671113,51.44977569580078,0,0
1764807109.980107,11.888742446899414,0,0
1764807110.0199223,52.6881217956543,0,0
1764807110.040209,20.167112350463867,0,0
1764807110.0697622,49.72410202026367,0,0
1764807110.0815985,11.697053909301758,0,0
1764807110.1312876,54.31985855102539,0,0
1764807110.1467223,15.20848274230957,0,0
1764807110.1785996,43.8840389251709,0,0
1764807110.196377,11.24119758605957,0,0
1764807110.2284184,49.69048500061035,0,0
1764807110.2285073,0,0.0016926938803944413,0
